department_id,department_name,shift_id,shift_date,shift_type,start_time,end_time,staff_type,staff_subclass,assigned_staff_count,minimum_required_per_shift
2,Cardiology,35687,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
2,Cardiology,35687,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",3,6
2,Cardiology,35702,2026-03-04,Evening,15:00:00,23:00:00,Administrative,"Ward Coordinator",2,2
2,Cardiology,35702,2026-03-04,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35702,2026-03-04,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",1,6
2,Cardiology,35702,2026-03-04,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",5,6
2,Cardiology,35717,2026-03-04,Night,23:00:00,07:00:00,Administrative,"Billing Officer",1,2
2,Cardiology,35717,2026-03-04,Night,23:00:00,07:00:00,Administrative,"HR Officer",1,2
2,Cardiology,35717,2026-03-04,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35717,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35717,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",4,6
2,Cardiology,35717,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",1,6
2,Cardiology,35732,2026-03-05,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
2,Cardiology,35732,2026-03-05,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35732,2026-03-05,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35732,2026-03-05,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",6,6
2,Cardiology,35747,2026-03-05,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
2,Cardiology,35747,2026-03-05,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35747,2026-03-05,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35747,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35747,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",2,6
2,Cardiology,35747,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",3,6
2,Cardiology,35762,2026-03-05,Night,23:00:00,07:00:00,Administrative,"Ward Coordinator",2,2
2,Cardiology,35762,2026-03-05,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35762,2026-03-05,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",6,6
2,Cardiology,35777,2026-03-06,Morning,07:00:00,15:00:00,Administrative,"Billing Officer",1,2
2,Cardiology,35777,2026-03-06,Morning,07:00:00,15:00:00,Administrative,"HR Officer",1,2
2,Cardiology,35777,2026-03-06,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35777,2026-03-06,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",1,6
2,Cardiology,35777,2026-03-06,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",5,6
2,Cardiology,35792,2026-03-06,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
2,Cardiology,35792,2026-03-06,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35792,2026-03-06,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35792,2026-03-06,Evening,15:00:00,23:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35792,2026-03-06,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",4,6
2,Cardiology,35792,2026-03-06,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",1,6
2,Cardiology,35807,2026-03-06,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
2,Cardiology,35807,2026-03-06,Night,23:00:00,07:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35807,2026-03-06,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35807,2026-03-06,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",6,6
2,Cardiology,35822,2026-03-07,Morning,07:00:00,15:00:00,Administrative,"Ward Coordinator",2,2
2,Cardiology,35822,2026-03-07,Morning,07:00:00,15:00:00,Doctor,Cardiology,3,3
2,Cardiology,35822,2026-03-07,Morning,07:00:00,15:00:00,Nurse,"Head Nurse",1,6
2,Cardiology,35822,2026-03-07,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
2,Cardiology,35822,2026-03-07,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",3,6
2,Cardiology,35837,2026-03-07,Evening,15:00:00,23:00:00,Administrative,"Billing Officer",1,2
2,Cardiology,35837,2026-03-07,Evening,15:00:00,23:00:00,Administrative,"HR Officer",1,2
2,Cardiology,35837,2026-03-07,Evening,15:00:00,23:00:00,Doctor,Cardiology,3,3
2,Cardiology,35837,2026-03-07,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",6,6
2,Cardiology,35852,2026-03-07,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
2,Cardiology,35852,2026-03-07,Night,23:00:00,07:00:00,Administrative,"Records Officer",1,2
2,Cardiology,35852,2026-03-07,Night,23:00:00,07:00:00,Doctor,Cardiology,3,3
2,Cardiology,35852,2026-03-07,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",1,6
2,Cardiology,35852,2026-03-07,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",5,6
1,"Emergency Department",35551,2026-03-01,Morning,07:00:00,15:00:00,Administrative,Accountant,1,2
1,"Emergency Department",35551,2026-03-01,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35551,2026-03-01,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35551,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35551,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35566,2026-03-01,Evening,15:00:00,23:00:00,Administrative,"HR Officer",1,2
1,"Emergency Department",35566,2026-03-01,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35566,2026-03-01,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35566,2026-03-01,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",6,6
1,"Emergency Department",35581,2026-03-01,Night,23:00:00,07:00:00,Administrative,"IT Support",2,2
1,"Emergency Department",35581,2026-03-01,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35581,2026-03-01,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
1,"Emergency Department",35581,2026-03-01,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",5,6
1,"Emergency Department",35596,2026-03-02,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35596,2026-03-02,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
1,"Emergency Department",35596,2026-03-02,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35596,2026-03-02,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35596,2026-03-02,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35611,2026-03-02,Evening,15:00:00,23:00:00,Administrative,Accountant,1,2
1,"Emergency Department",35611,2026-03-02,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35611,2026-03-02,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35611,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35611,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35626,2026-03-02,Night,23:00:00,07:00:00,Administrative,"HR Officer",1,2
1,"Emergency Department",35626,2026-03-02,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35626,2026-03-02,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35626,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35626,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35641,2026-03-03,Morning,07:00:00,15:00:00,Administrative,"IT Support",2,2
1,"Emergency Department",35641,2026-03-03,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35641,2026-03-03,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",6,6
1,"Emergency Department",35656,2026-03-03,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35656,2026-03-03,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
1,"Emergency Department",35656,2026-03-03,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35656,2026-03-03,Evening,15:00:00,23:00:00,Nurse,"Head Nurse",1,6
1,"Emergency Department",35656,2026-03-03,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",5,6
1,"Emergency Department",35671,2026-03-03,Night,23:00:00,07:00:00,Administrative,Accountant,1,2
1,"Emergency Department",35671,2026-03-03,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35671,2026-03-03,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35671,2026-03-03,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35671,2026-03-03,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35686,2026-03-04,Morning,07:00:00,15:00:00,Administrative,"HR Officer",1,2
1,"Emergency Department",35686,2026-03-04,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35686,2026-03-04,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35686,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35686,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35701,2026-03-04,Evening,15:00:00,23:00:00,Administrative,"IT Support",2,2
1,"Emergency Department",35701,2026-03-04,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35701,2026-03-04,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",6,6
1,"Emergency Department",35716,2026-03-04,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35716,2026-03-04,Night,23:00:00,07:00:00,Administrative,"Records Officer",1,2
1,"Emergency Department",35716,2026-03-04,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35716,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35716,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35731,2026-03-05,Morning,07:00:00,15:00:00,Administrative,Accountant,1,2
1,"Emergency Department",35731,2026-03-05,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35731,2026-03-05,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35731,2026-03-05,Morning,07:00:00,15:00:00,Nurse,"Head Nurse",1,6
1,"Emergency Department",35731,2026-03-05,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",5,6
1,"Emergency Department",35746,2026-03-05,Evening,15:00:00,23:00:00,Administrative,"HR Officer",1,2
1,"Emergency Department",35746,2026-03-05,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35746,2026-03-05,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35746,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35746,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35761,2026-03-05,Night,23:00:00,07:00:00,Administrative,"IT Support",2,2
1,"Emergency Department",35761,2026-03-05,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35761,2026-03-05,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35761,2026-03-05,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35776,2026-03-06,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35776,2026-03-06,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
1,"Emergency Department",35776,2026-03-06,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35776,2026-03-06,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",6,6
1,"Emergency Department",35791,2026-03-06,Evening,15:00:00,23:00:00,Administrative,Accountant,1,2
1,"Emergency Department",35791,2026-03-06,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35791,2026-03-06,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35791,2026-03-06,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35791,2026-03-06,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35806,2026-03-06,Night,23:00:00,07:00:00,Administrative,"HR Officer",1,2
1,"Emergency Department",35806,2026-03-06,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35806,2026-03-06,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35806,2026-03-06,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
1,"Emergency Department",35806,2026-03-06,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",5,6
1,"Emergency Department",35821,2026-03-07,Morning,07:00:00,15:00:00,Administrative,"IT Support",2,2
1,"Emergency Department",35821,2026-03-07,Morning,07:00:00,15:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35821,2026-03-07,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35821,2026-03-07,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35836,2026-03-07,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35836,2026-03-07,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
1,"Emergency Department",35836,2026-03-07,Evening,15:00:00,23:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35836,2026-03-07,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",2,6
1,"Emergency Department",35836,2026-03-07,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",4,6
1,"Emergency Department",35851,2026-03-07,Night,23:00:00,07:00:00,Administrative,Accountant,1,2
1,"Emergency Department",35851,2026-03-07,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
1,"Emergency Department",35851,2026-03-07,Night,23:00:00,07:00:00,Doctor,"Emergency Medicine",3,3
1,"Emergency Department",35851,2026-03-07,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",6,6
15,Endocrinology,35565,2026-03-01,Morning,07:00:00,15:00:00,Administrative,Accountant,1,2
15,Endocrinology,35565,2026-03-01,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
15,Endocrinology,35565,2026-03-01,Morning,07:00:00,15:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35565,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Head Nurse",1,6
15,Endocrinology,35565,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
15,Endocrinology,35565,2026-03-01,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",3,6
15,Endocrinology,35580,2026-03-01,Evening,15:00:00,23:00:00,Administrative,"IT Support",2,2
15,Endocrinology,35580,2026-03-01,Evening,15:00:00,23:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35580,2026-03-01,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",6,6
15,Endocrinology,35595,2026-03-01,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35595,2026-03-01,Night,23:00:00,07:00:00,Administrative,Secretary,1,2
15,Endocrinology,35595,2026-03-01,Night,23:00:00,07:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35595,2026-03-01,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
15,Endocrinology,35595,2026-03-01,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",4,6
15,Endocrinology,35595,2026-03-01,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",1,6
15,Endocrinology,35610,2026-03-02,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35610,2026-03-02,Morning,07:00:00,15:00:00,Administrative,"Ward Coordinator",1,2
15,Endocrinology,35610,2026-03-02,Morning,07:00:00,15:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35610,2026-03-02,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",2,6
15,Endocrinology,35610,2026-03-02,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",4,6
15,Endocrinology,35625,2026-03-02,Evening,15:00:00,23:00:00,Administrative,Accountant,1,2
15,Endocrinology,35625,2026-03-02,Evening,15:00:00,23:00:00,Administrative,"Records Officer",1,2
15,Endocrinology,35625,2026-03-02,Evening,15:00:00,23:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35625,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",4,6
15,Endocrinology,35625,2026-03-02,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",2,6
15,Endocrinology,35640,2026-03-02,Night,23:00:00,07:00:00,Administrative,"IT Support",2,2
15,Endocrinology,35640,2026-03-02,Night,23:00:00,07:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35640,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
15,Endocrinology,35640,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
15,Endocrinology,35640,2026-03-02,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",3,6
15,Endocrinology,35655,2026-03-03,Morning,07:00:00,15:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35655,2026-03-03,Morning,07:00:00,15:00:00,Administrative,Secretary,1,2
15,Endocrinology,35655,2026-03-03,Morning,07:00:00,15:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35655,2026-03-03,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",6,6
15,Endocrinology,35670,2026-03-03,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35670,2026-03-03,Evening,15:00:00,23:00:00,Administrative,"Ward Coordinator",1,2
15,Endocrinology,35670,2026-03-03,Evening,15:00:00,23:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35670,2026-03-03,Evening,15:00:00,23:00:00,Nurse,"Head Nurse",1,6
15,Endocrinology,35670,2026-03-03,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",4,6
15,Endocrinology,35670,2026-03-03,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",1,6
15,Endocrinology,35685,2026-03-03,Night,23:00:00,07:00:00,Administrative,Accountant,1,2
15,Endocrinology,35685,2026-03-03,Night,23:00:00,07:00:00,Administrative,"Records Officer",1,2
15,Endocrinology,35685,2026-03-03,Night,23:00:00,07:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35685,2026-03-03,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
15,Endocrinology,35685,2026-03-03,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",4,6
15,Endocrinology,35700,2026-03-04,Morning,07:00:00,15:00:00,Administrative,"IT Support",2,2
15,Endocrinology,35700,2026-03-04,Morning,07:00:00,15:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35700,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",4,6
15,Endocrinology,35700,2026-03-04,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",2,6
15,Endocrinology,35715,2026-03-04,Evening,15:00:00,23:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35715,2026-03-04,Evening,15:00:00,23:00:00,Administrative,Secretary,1,2
15,Endocrinology,35715,2026-03-04,Evening,15:00:00,23:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35715,2026-03-04,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",6,6
15,Endocrinology,35730,2026-03-04,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35730,2026-03-04,Night,23:00:00,07:00:00,Administrative,"Ward Coordinator",1,2
15,Endocrinology,35730,2026-03-04,Night,23:00:00,07:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35730,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Head Nurse",1,6
15,Endocrinology,35730,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
15,Endocrinology,35730,2026-03-04,Night,23:00:00,07:00:00,Nurse,"Registered Nurse",3,6
15,Endocrinology,35745,2026-03-05,Morning,07:00:00,15:00:00,Administrative,Accountant,1,2
15,Endocrinology,35745,2026-03-05,Morning,07:00:00,15:00:00,Administrative,"Records Officer",1,2
15,Endocrinology,35745,2026-03-05,Morning,07:00:00,15:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35745,2026-03-05,Morning,07:00:00,15:00:00,Nurse,"Head Nurse",1,6
15,Endocrinology,35745,2026-03-05,Morning,07:00:00,15:00:00,Nurse,"Nursing Assistant",4,6
15,Endocrinology,35745,2026-03-05,Morning,07:00:00,15:00:00,Nurse,"Registered Nurse",1,6
15,Endocrinology,35760,2026-03-05,Evening,15:00:00,23:00:00,Administrative,"IT Support",2,2
15,Endocrinology,35760,2026-03-05,Evening,15:00:00,23:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35760,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Nursing Assistant",4,6
15,Endocrinology,35760,2026-03-05,Evening,15:00:00,23:00:00,Nurse,"Registered Nurse",2,6
15,Endocrinology,35775,2026-03-05,Night,23:00:00,07:00:00,Administrative,"IT Support",1,2
15,Endocrinology,35775,2026-03-05,Night,23:00:00,07:00:00,Administrative,Secretary,1,2
15,Endocrinology,35775,2026-03-05,Night,23:00:00,07:00:00,Doctor,Endocrinology,3,3
15,Endocrinology,35775,2026-03-05,Night,23:00:00,07:00:00,Nurse,"Nursing Assistant",2,6
