substance_id,active_substance_name,allergic_patients_count,drugs_containing_substance_count
2469,"Human Normal Immunoglobulin",0,268
4061,Lenalidomide,0,268
116,"Oxycodone Hydrochloride",0,264
578,Levofloxacin,0,262
907,Amoxicillin,0,258
96,Bortezomib,0,257
5197,Eltrombopag,0,257
310,Montelukast,0,257
969,Valsartan,0,255
364,"Benzydamine Hydrochloride",0,251
753,Loratadine,0,251
3525,Estradiol,0,250
79,Hydrocortisone,0,250
383,Melatonin,0,247
123,Ramipril,0,245
912,"Valsartan, Hydrochlorothiazide",0,245
603,Lansoprazole,0,243
40,"Sodium Hydrogen Carbonate, Potassium Chloride, Sodium Chloride, Macrogol 3350",0,243
5118,Sunitinib,0,242
564,Fulvestrant,0,241
302,Etoricoxib,0,240
573,Vildagliptin,0,240
2854,Linagliptin,0,238
1891,"Enoxaparin Sodium",0,237
555,Alprazolam,0,236
769,"Diclofenac Diethylamine",0,236
441,Anastrozole,0,234
669,"Fluticasone Propionate",0,233
574,"Metformin Hydrochloride, Vildagliptin",0,233
78,Bilastine,0,232
206,"Tranexamic Acid",0,232
1525,Cefuroxime,0,226
3759,Gliclazide,0,226
2021,"Hydrochlorothiazide, Candesartan Cilexetil",0,225
399,"Tamsulosin Hydrochloride, Dutasteride",0,225
824,"Histamine Dihydrochloride",0,224
1789,Clindamycin,0,223
2301,"Lidocaine Hydrochloride",0,223
2522,Ceftriaxone,0,222
1626,"Piperacillin, Tazobactam",0,221
775,"Betahistine Dihydrochloride",0,220
483,Glycerol,0,220
1431,Bicalutamide,0,219
143,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydra",0,218
256,Buprenorphine,0,217
1142,Venlafaxine,0,215
264,"Azelastine Hydrochloride, Fluticasone Propionate",0,214
361,"Insulin Human",0,214
2175,Azacitidine,0,213
732,Eplerenone,0,213
570,Nintedanib,0,210
536,Apremilast,0,207
382,Dutasteride,0,207
3007,Midazolam,0,207
4284,Pomalidomide,0,207
601,Progesterone,0,207
465,"Zolpidem Tartrate",0,207
1504,Diazepam,0,206
2902,Dapagliflozin,0,205
991,"Atorvastatin, Ezetimibe",0,204
608,Minoxidil,0,204
649,"Ethinylestradiol, Gestodene",0,200
684,Rivastigmine,0,199
453,Allopurinol,0,198
455,"Ibuprofen, Paracetamol",0,198
534,Paroxetine,0,198
266,Celecoxib,0,197
1274,Dexamethasone,0,197
2370,"Metoprolol Tartrate",0,197
2501,"Povidone, Iodinated",0,197
186,"Enalapril Maleate",0,195
802,"Tramadol Hydrochloride, Paracetamol",0,195
6181,Posaconazole,0,194
2746,Pirfenidone,0,192
124,"Risedronate Sodium",0,192
691,"Amylmetacresol, 2,4 Dichlorobenzyl Alcohol",0,189
425,Everolimus,0,188
619,Rasagiline,0,188
311,Telmisartan,0,188
1239,"Codeine Phosphate",0,186
981,"Olmesartan Medoxomil",0,186
1636,Sumatriptan,0,185
467,Epinephrine,0,184
436,Lactose.,0,183
648,Lorazepam,0,183
5257,Enzalutamide,0,181
701,"Human Serum Albumin",0,181
591,Meloxicam,0,181
4276,Dasatinib,0,180
968,Ketoprofen,0,180
1250,Lamotrigine,0,180
1786,"Lercanidipine Hydrochloride",0,180
751,"Levocetirizine Dihydrochloride",0,180
144,"Levothyroxine Sodium",0,180
788,"Paracetamol, Caffeine",0,180
1329,"Simvastatin, Ezetimibe",0,180
464,Tacrolimus,0,180
4142,Daptomycin,0,179
224,"Sodium Hydrogen Carbonate, Calcium Carbonate, Sodium Alginate",0,179
107,"Sodium Valproate",0,178
630,"Budesonide, Formoterol Fumarate Dihydrate",0,177
1784,Edoxaban,0,177
496,"Beclometasone Dipropionate, Formoterol Fumarate Dihydrate",0,176
127,Carvedilol,0,176
71,Moxifloxacin,0,176
118,Paclitaxel,0,176
1386,"Terbinafine Hydrochloride",0,176
4307,Deferasirox,0,175
2569,Imatinib,0,174
395,Ropinirole,0,174
426,"Glyceryl Trinitrate",0,173
222,"Ursodeoxycholic Acid",0,173
533,Fluoxetine,0,172
435,"Dienogest, Ethinylestradiol",0,170
54,Irbesartan,0,169
287,Topiramate,0,168
132,"Azelastine Hydrochloride",0,167
590,"Lactose Monohydrate",0,167
807,Pemetrexed,0,167
1385,Terbinafine,0,167
74,Bimatoprost,0,166
1888,Exemestane,0,166
416,"Desogestrel, Ethinylestradiol",0,164
313,"Hydrochlorothiazide, Telmisartan",0,164
139,"Colecalciferol, Calcium",0,163
3054,Cabazitaxel,0,162
119,Febuxostat,0,162
1325,"Amiodarone Hydrochloride",0,161
500,"Beclometasone Dipropionate",0,161
3164,"Colistimethate Sodium",0,161
1277,"Levofloxacin Hemihydrate",0,161
2861,Tobramycin,0,161
616,Desogestrel,0,160
1595,Indapamide,0,160
458,Dexketoprofen,0,159
621,"Lactose Anhydrous",0,159
1743,"Azithromycin Dihydrate",0,158
764,Ceftazidime,0,158
209,"Pantoprazole Sodium Sesquihydrate",0,158
2906,"Rocuronium Bromide",0,158
1327,"Dorzolamide Hydrochloride, Timolol Maleate",0,157
341,Carbocisteine,0,156
702,"Olmesartan Medoxomil, Amlodipine",0,156
4235,Oxaliplatin,0,156
153,"Enalapril Maleate, Hydrochlorothiazide",0,155
1548,"Ezetimibe, Rosuvastatin",0,155
3841,"Hydrochlorothiazide, Irbesartan",0,155
4136,"Noradrenaline Tartrate",0,155
102,"Ibandronic Acid",0,154
133,"Oxymetazoline Hydrochloride",0,154
1630,Zopiclone,0,154
97,"Brimonidine Tartrate",0,153
352,"Colecalciferol, Calcium Carbonate",0,153
925,Naproxen,0,153
982,"Olmesartan Medoxomil, Hydrochlorothiazide",0,153
680,"Sodium Cromoglicate",0,151
3206,Caspofungin,0,150
134,"Dextromethorphan Hydrobromide",0,150
3655,Macitentan,0,150
505,Salbutamol,0,150
2446,"Tamsulosin Hydrochloride, Solifenacin Succinate",0,150
2213,Baclofen,0,149
4496,"Glucose Monohydrate",0,148
2552,Lactulose,0,148
1603,"Montelukast Sodium",0,148
767,"Nitrous Oxide",0,148
733,Paliperidone,0,148
204,"Ascorbic Acid",0,147
407,"Potassium Chloride",0,147
1377,"Hydrochlorothiazide, Ramipril",0,146
3204,"Irinotecan Hydrochloride Trihydrate",0,146
4043,Levosimendan,0,146
535,"Metamizole Sodium Monohydrate",0,146
1409,"Pravastatin Sodium",0,146
1334,Carbamazepine,0,145
541,"Dexamethasone Phosphate",0,145
2265,Ivermectin,0,145
647,"Timolol Maleate, Latanoprost",0,145
2027,Atenolol,0,144
508,Bisacodyl,0,143
1491,"Desmopressin Acetate",0,143
692,"Bromhexine Hydrochloride",0,142
2096,Citalopram,0,142
335,"Morphine Sulfate",0,142
255,"Rabeprazole Sodium",0,142
278,"Chlorhexidine Gluconate",0,141
2396,"Bendamustine Hydrochloride",0,140
1439,Propofol,0,140
8117,"Ropivacaine Hydrochloride",0,140
575,"Meropenem Anhydrous",0,139
3092,Cinacalcet,0,138
7148,Nilotinib,0,138
1819,"Paliperidone Palmitate",0,138
3177,"Pramipexole Dihydrochloride Monohydrate",0,137
6534,"Insulin Human (Rdna)",0,136
9188,Teicoplanin,0,136
2222,"Vancomycin Hydrochloride",0,136
2223,"Sulfamethoxazole, Trimethoprim",0,135
2284,"Timolol Maleate, Bimatoprost",0,135
643,"Verapamil Hydrochloride",0,135
2398,Gemcitabine,0,134
1809,"Venlafaxine Hydrochloride",0,134
263,"Escitalopram Oxalate",0,133
748,"Fexofenadine Hydrochloride",0,133
795,"Paracetamol, Codeine Phosphate Hemihydrate",0,133
121,Travoprost,0,133
1971,Zolmitriptan,0,133
2173,Clozapine,0,132
2083,Ofloxacin,0,132
42,"Sildenafil Citrate",0,132
713,"Alfuzosin Hydrochloride",0,131
827,"Sodium Hydrogen Carbonate",0,131
2294,"Fludeoxyglucose (18f)",0,130
743,"Carbidopa, Levodopa",0,129
3038,"Clobetasol Propionate",0,129
440,Desmopressin,0,129
76,Prednisolone,0,129
6222,Ranolazine,0,129
730,Spironolactone,0,129
2439,"Benzydamine Hydrochloride, Cetylpyridinium Chloride",0,128
1817,"Betamethasone, Calcipotriol",0,128
1261,Glimepiride,0,128
2165,"Heparin Sodium",0,128
2009,Itraconazole,0,128
5987,Somatropin,0,128
965,Alprostadil,0,126
2548,"Bupivacaine Hydrochloride",0,126
3261,Carboplatin,0,126
1960,"Dorzolamide, Timolol",0,126
271,Isotretinoin,0,125
3696,"Citalopram Hydrobromide",0,124
1475,"Isosorbide Mononitrate",0,124
3232,Ciclosporin,0,122
219,"Gadoteric Acid",0,122
2735,Nebivolol,0,122
1147,"Valsartan, Amlodipine",0,122
208,"Zoledronic Acid Monohydrate",0,122
1543,"Phenylephrine Hydrochloride, Paracetamol",0,121
443,"Diltiazem Hydrochloride",0,120
5201,Fampridine,0,120
454,Tapentadol,0,120
4421,"Estradiol Hemihydrate",0,119
3366,Fenofibrate,0,119
8310,Sorafenib,0,119
4320,Dexmedetomidine,0,118
910,"Flecainide Acetate",0,118
414,"Hyoscine Butylbromide",0,118
381,"Doxazosin Mesilate",0,117
3456,"Mycophenolate Mofetil",0,117
1440,"Articaine Hydrochloride, Epinephrine",0,116
2162,"Bupropion Hydrochloride",0,116
195,"Folic Acid",0,116
461,"Ibuprofen Lysine",0,116
2852,Ketoconazole,0,116
331,Lidocaine,0,116
7399,"Valine, Alanine, Arginine, Isoleucine, Leucine, Methionine, Phenylalanine, Proline, Serine, Threonin",0,116
2853,"Botulinum Toxin Type A",0,115
3899,Colchicine,0,115
2400,"Epirubicin Hydrochloride",0,115
1988,"Formoterol Fumarate Dihydrate",0,115
5020,"Nebivolol Hydrochloride",0,115
2058,"Valsartan, Sacubitril",0,115
718,"Atropine Sulfate",0,114
473,"Doxorubicin Hydrochloride",0,114
369,Galantamine,0,114
663,"Glycopyrronium Bromide",0,114
162,Lisinopril,0,114
2769,"Tolterodine Tartrate",0,114
376,Denosumab,0,113
2218,Ebastine,0,113
569,"Tenofovir Disoproxil",0,113
474,Anagrelide,0,112
434,Dienogest,0,112
4690,Doxycycline,0,112
8937,Pazopanib,0,112
1627,"Apomorphine Hydrochloride Hemihydrate",0,111
180,"Glatiramer Acetate",0,111
3892,"Perindopril Tert-Butylamine",0,111
2286,Entecavir,0,110
346,"Norethisterone Acetate, Estradiol",0,110
1412,"Propranolol Hydrochloride",0,110
576,Meropenem,0,109
2550,Carmustine,0,108
309,Nimesulide,0,108
2184,"Trazodone Hydrochloride",0,108
4695,"Methadone Hydrochloride",0,107
3230,Capecitabine,0,106
5105,"Ephedrine Hydrochloride",0,106
1979,"Nicotine Resinate",0,106
1728,"Quetiapine Fumarate",0,106
2775,Racecadotril,0,106
3266,"Sevelamer Carbonate",0,106
3384,Vancomycin,0,106
214,"Alendronic Acid",0,105
670,Amisulpride,0,105
2586,"Mepivacaine Hydrochloride",0,105
855,"Phenylephrine Hydrochloride, Guaifenesin, Paracetamol",0,105
4568,Tigecycline,0,105
77,"Amlodipine Besilate",0,104
761,Cytarabine,0,104
3459,Etoposide,0,104
6526,"Insulin Lispro",0,104
175,Piracetam,0,104
1433,"Testosterone Undecanoate",0,104
757,Alfacalcidol,0,103
5650,Icatibant,0,103
537,"Metoclopramide Hydrochloride",0,103
10215,Sevoflurane,0,103
2018,Torasemide,0,103
8176,Vinorelbine,0,103
207,"Zoledronic Acid",0,103
4230,"Dabigatran Etexilate Mesilate",0,102
7286,Methylprednisolone,0,102
4459,"Oxybutynin Hydrochloride",0,102
4275,Darunavir,0,101
4597,"Dorzolamide Hydrochloride",0,101
368,"Ketorolac Trometamol",0,101
2314,Mirabegron,0,101
506,"Salbutamol Sulfate",0,101
1140,"Valganciclovir Hydrochloride",0,101
2397,Fluorouracil,0,100
936,Haloperidol,0,100
707,"Human Plasma Protein",0,100
73,"Moxifloxacin Hydrochloride",0,100
1837,"Perindopril Tert-Butylamine, Indapamide",0,100
213,"Alendronate Sodium Trihydrate",0,99
8535,Octreotide,0,99
703,"Olmesartan Medoxomil, Amlodipine, Hydrochlorothiazide",0,99
135,"Pseudoephedrine Hydrochloride, Ibuprofen",0,99
155,"Adapalene, Benzoyl Peroxide",0,98
1263,Ambrisentan,0,98
1629,Doxazosin,0,98
970,Riluzole,0,98
10654,Valaciclovir,0,98
2054,"Enalapril Maleate, Lercanidipine Hydrochloride",0,97
387,"Ethinylestradiol, Etonogestrel",0,97
1766,Glucose,0,97
362,"Naproxen Sodium",0,97
5202,Vardenafil,0,97
1358,"Amorolfine Hydrochloride",0,96
2220,Bosentan,0,96
5363,Erlotinib,0,96
4199,Moxonidine,0,96
5130,Ustekinumab,0,96
322,"Xylometazoline Hydrochloride, Dexpanthenol",0,96
565,Atomoxetine,0,95
651,Clonazepam,0,95
1486,Cyanocobalamin,0,95
755,"Dimetindene Maleate",0,95
4703,"Hydromorphone Hydrochloride",0,95
2734,Ivabradine,0,95
5843,Micafungin,0,95
8339,Silodosin,0,95
740,"Timolol, Travoprost",0,95
869,"Ketotifen Hydrogen Fumarate",0,94
3190,"Rizatriptan Benzoate",0,94
1704,Aprepitant,0,93
5700,Flucloxacillin,0,93
218,"Fusidic Acid",0,93
1744,Leflunomide,0,93
502,Simeticone,0,93
353,"Calcium Carbonate",0,92
1432,Testosterone,0,92
3045,Liraglutide,0,91
1767,Mannitol,0,91
1818,Paricalcitol,0,91
2534,Prasugrel,0,91
2467,"Human Coagulation Factor Viii",0,90
2542,"Indapamide, Perindopril Arginine",0,90
442,"Lisdexamfetamine Dimesylate",0,90
3352,"Macrogol 4000",0,90
1742,Nitrofurantoin,0,90
365,"Nitrous Oxide, Oxygen",0,90
8005,Plerixafor,0,90
9761,Treprostinil,0,90
2074,Azathioprine,0,89
836,Melphalan,0,89
445,"Sertraline Hydrochloride",0,89
1951,"Timolol Maleate",0,89
101,"Dry Extract Of Hederae Folium (5-7.5:1), Extraction Solvent: Ethanol 30% (M/M)",0,88
57,"Fentanyl Citrate",0,88
953,"Human Coagulation Factor Viii, Human Von Willebrand Factor",0,88
4398,"Leuprorelin Acetate",0,88
5282,Repaglinide,0,88
1341,"Valsartan, Amlodipine, Hydrochlorothiazide",0,88
3050,Varenicline,0,88
103,Vortioxetine,0,88
2692,"Ceftriaxone Sodium",0,87
1785,"Diclofenac Potassium",0,87
1631,Famotidine,0,87
1410,"Lidocaine, Prilocaine",0,87
385,Nifedipine,0,87
236,"Salicylic Acid",0,87
5999,Ziprasidone,0,87
415,Ampicillin,0,86
639,Bromazepam,0,86
2399,Docetaxel,0,86
5077,"Econazole Nitrate",0,86
6836,Lanreotide,0,86
5141,"Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sod",0,86
568,Pentoxifylline,0,86
2884,Piroxicam,0,86
6823,"Potassium Iodide",0,86
49,"Rosuvastatin Calcium",0,86
2694,"Ceftazidime Pentahydrate",0,85
1141,Diosmin,0,85
3669,Domperidone,0,85
1148,Iron,0,85
941,Palonosetron,0,85
130,"Phenylephrine Hydrochloride",0,85
4127,"Triamcinolone Acetonide",0,85
905,"Botulinum Toxin Type A - Haemagglutinin Complex",0,84
1413,"Cefuroxime Sodium",0,84
7945,Mitomycin,0,84
433,Nystatin,0,84
620,"Phenylephrine Hydrochloride, Ascorbic Acid, Paracetamol",0,84
1953,Triptorelin,0,84
5948,Gefitinib,0,83
286,"Lidocaine Hydrochloride Monohydrate",0,83
2236,"Magnesium Chloride Hexahydrate, Sodium Chloride, Calcium Chloride Dihydrate, Glucose Monohydrate, So",0,83
2053,"Proguanil Hydrochloride, Atovaquone",0,83
4446,Zonisamide,0,83
1362,"Amoxicillin Trihydrate",0,82
2510,"Metoprolol Succinate",0,82
2103,Felodipine,0,81
528,"Fosfomycin Trometamol",0,81
1608,"Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate",0,81
1286,Amikacin,0,80
423,"Amitriptyline Hydrochloride",0,80
2444,Dexpanthenol,0,80
1316,"Valine, Acetylcysteine, Alanine, Arginine, Histidine, Isoleucine, Leucine, Methionine, Phenylalanine",0,80
150,Aceclofenac,0,79
1387,"Amylmetacresol, 2,4 Dichlorobenzyl Alcohol, Lidocaine Hydrochloride",0,79
859,"Diphenhydramine Hydrochloride",0,79
1428,"Fluoxetine Hydrochloride",0,79
1513,Gentamicin,0,79
1703,"Ivabradine Hydrochloride",0,79
61,"Magnesium Sulfate Heptahydrate",0,79
8321,"Nicotine Polacrilex",0,79
1840,"Oxycodone Hydrochloride, Naloxone Hydrochloride Dihydrate",0,79
298,Tiotropium,0,79
2850,Bosutinib,0,78
5211,Granisetron,0,78
7058,Lenvatinib,0,78
2215,Mupirocin,0,78
2344,Nimodipine,0,78
238,"Valproic Acid, Sodium Valproate",0,78
617,Brinzolamide,0,77
2662,"Cefazolin Sodium",0,77
1511,Cefotaxime,0,77
2155,Dimenhydrinate,0,77
1914,"Glucosamine Sulfate Sodium Chloride",0,77
2024,"Hydroxyzine Hydrochloride",0,77
2185,"Nitric Oxide",0,77
752,Rupatadine,0,77
10734,Thiotepa,0,77
1904,"Atorvastatin Calcium",0,76
3066,"Calcium Chloride Dihydrate",0,76
2736,"Ciprofloxacin Hydrochloride Monohydrate",0,76
1578,"Folinic Acid",0,76
600,Agomelatine,0,75
1836,"Fingolimod Hydrochloride",0,75
2404,"Fludarabine Phosphate",0,75
3827,"Human Fibrinogen",0,75
1478,Misoprostol,0,75
1956,"Propafenone Hydrochloride",0,75
711,"Clonidine Hydrochloride",0,74
29,Erythromycin,0,74
178,"Eslicarbazepine Acetate",0,74
3458,"Ondansetron Hydrochloride Dihydrate",0,74
2804,Teriparatide,0,74
667,"Amoxicillin Trihydrate, Potassium Clavulanate",0,73
1480,Anidulafungin,0,73
1273,"Chlormadinone Acetate, Ethinylestradiol",0,73
3775,"Clindamycin Phosphate",0,73
2099,"Mebeverine Hydrochloride",0,73
7771,Menotrophin,0,73
1751,"Meropenem Trihydrate",0,73
4133,"Progesterone, Micronised",0,73
205,"Thioctic Acid",0,73
166,Captopril,0,72
3649,Cyclophosphamide,0,72
5365,Ertapenem,0,72
6671,Iomeprol,0,72
2497,"Sotalol Hydrochloride",0,72
664,Axitinib,0,71
2169,Cefixime,0,71
2685,"Cefuroxime Axetil",0,71
3710,Cisplatin,0,71
129,"Dermatophagoides Pteronyssinus, Dermatophagoides Farinae",0,71
1247,"Ezetimibe, Rosuvastatin Calcium",0,71
327,Guaifenesin,0,71
811,Indometacin,0,71
1755,"Ketoprofen Lysine",0,71
487,Temozolomide,0,71
10921,Trabectedin,0,71
2856,"Buprenorphine, Naloxone",0,70
3053,Cabergoline,0,70
1510,"Cefotaxime Sodium",0,70
4585,Digoxin,0,70
349,Etofenamate,0,70
4549,Hydrochlorothiazide,0,70
151,"Hydrochlorothiazide, Lisinopril",0,70
226,"Magnesium Carbonate Heavy, Calcium Carbonate",0,70
1598,"Peppermint Oil",0,70
2797,Tibolone,0,70
46,"Amphotericin B",0,69
2079,Betamethasone,0,69
2168,Ciclopirox,0,69
678,"Formoterol Fumarate Dihydrate, Beclometasone Dipropionate Anhydrous",0,69
675,"Inosine Pranobex",0,69
538,"Metoclopramide Hydrochloride Monohydrate",0,69
3975,"Morphine Hydrochloride Trihydrate",0,69
1497,"Thiamine Hydrochloride, Cyanocobalamin, Pyridoxine Hydrochloride",0,69
380,"Aluminium Phosphate, Diphtheria Toxoid, Tetanus Toxoid, Pertussis Toxoid, Pertussis Filamentous Haem",0,68
2181,Cefazolin,0,68
3510,Dinoprostone,0,68
1820,"Fesoterodine Fumarate",0,68
1446,Flumazenil,0,68
1779,Hydroxycarbamide,0,68
1714,Oxcarbazepine,0,68
192,"Paracetamol, Acetylsalicylic Acid, Caffeine",0,68
1896,"Perindopril Arginine",0,68
1556,"Phenylephrine Hydrochloride, Paracetamol, Caffeine",0,68
1647,"Thiamine Hydrochloride",0,68
4453,Urapidil,0,68
202,"Alendronic Acid, Colecalciferol",0,67
7327,"Benserazide Hydrochloride, Levodopa",0,67
921,Chloramphenicol,0,67
625,"Dienogest, Estradiol Valerate",0,67
626,"Estradiol Valerate",0,67
3653,"Gentamicin Sulfate",0,67
2472,"Human Coagulation Factor Ix, Protein C, Human Coagulation Factor Vii, Protein S, Human Coagulation F",0,67
2511,Sulpiride,0,67
4501,"Human Anti-D Immunoglobulin",0,66
5790,"Human Hepatitis B Immunoglobulin",0,66
768,"Hydrocortisone Butyrate",0,66
1308,Levocarnitine,0,66
3869,"Naloxone Hydrochloride",0,66
3983,"Potassium Chloride, Sodium Chloride, Calcium Chloride Dihydrate, Sodium Lactate",0,66
6184,Tolvaptan,0,66
419,Adenosine,0,65
3020,"Buprenorphine Hydrochloride",0,65
3286,"Copper Tetramibi Tetrafluoroborate",0,65
4313,Droperidol,0,65
334,Modafinil,0,65
326,"Pseudoephedrine Hydrochloride, Paracetamol",0,65
3377,Vinpocetine,0,65
3154,"Zinc Oxide",0,65
1558,"Butamirate Citrate",0,64
2470,"C1 Esterase Inhibitor (Human)",0,64
3272,"Ferric Carboxymaltose",0,64
3767,Iopamidol,0,64
2070,"Ipratropium Bromide",0,64
3251,"Levodopa, Carbidopa Monohydrate",0,64
432,"Lisinopril Dihydrate",0,64
299,"Tiotropium Bromide",0,64
3253,"Carbidopa, Entacapone, Levodopa",0,63
589,"Cinnarizine, Dimenhydrinate",0,63
2784,"Clostridium Botulinum Neurotoxin Type A (150kd), Free Of Complexing Proteins",0,63
1990,Cytisinicline,0,63
5223,"Emtricitabine, Tenofovir Disoproxil",0,63
4261,"Metformin Hydrochloride, Dapagliflozin",0,63
2189,Sulfasalazine,0,63
955,"B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Austria/1359417/202",0,62
274,"Benzoyl Peroxide",0,62
2418,"Benzylpenicillin Sodium",0,62
950,Cefepime,0,62
557,Fosfomycin,0,62
3284,"Isosorbide Dinitrate",0,62
1560,"Miconazole Nitrate",0,62
2042,"Tapentadol Hydrochloride",0,62
5114,"Influenza Virus B/Michigan/01/2021, Influenza A/Victoria/4897/2022 Ivr-238 (H1n1), Inactivated, Infl",0,61
5631,"Insulin Aspart",0,61
169,"Methylprednisolone Aceponate",0,61
8307,Nevirapine,0,61
8554,Oxytocin,0,61
2102,"Diosmin, Hesperidin",0,60
1959,Dorzolamide,0,60
2137,"Hydroxychloroquine Sulfate",0,60
4950,"Latanoprost, Timolol",0,60
934,"Promethazine Hydrochloride",0,60
3719,"Sodium Picosulfate, Magnesium Oxide, Light, Citric Acid",0,60
10023,Tafluprost,0,60
6559,Topotecan,0,60
428,"Trimetazidine Dihydrochloride",0,60
2479,"Betaxolol Hydrochloride",0,59
318,"Charcoal, Activated",0,59
3358,Clobazam,0,59
2553,Empagliflozin,0,59
489,"Eribulin Mesylate",0,59
493,"Helium, Carbon Monoxide",0,59
903,Olopatadine,0,59
2982,Prednisone,0,59
2307,"Ciclopirox Olamine",0,58
5462,"Epinephrine, Lidocaine Hydrochloride",0,58
5346,Eribulin,0,58
799,Goserelin,0,58
623,"Human Coagulation Factor Ix",0,58
8938,"Pazopanib Hydrochloride",0,58
809,Pitavastatin,0,58
4744,Remifentanil,0,58
142,"Sodium Hydrogen Carbonate, Magnesium Chloride Hexahydrate, Potassium Chloride, Sodium Chloride, Calc",0,58
1345,"Amlodipine, Ramipril",0,57
228,"Ascorbic Acid, Acetylsalicylic Acid",0,57
5113,"B/Phuket/3073/2013-Like Virus (B/Phuket/3073/2013, Wild Type), Influenza Virus B/Michigan/01/2021, I",0,57
3005,"Calcium Folinate",0,57
2300,"Ciprofloxacin Hydrochloride",0,57
3707,"Cisatracurium Besilate",0,57
3650,"Cyclophosphamide Monohydrate",0,57
2857,"Dexamethasone, Tobramycin",0,57
3173,"Diclofenac Epolamine",0,57
3777,"Dydrogesterone, Estradiol",0,57
5145,Eletriptan,0,57
3556,Norfloxacin,0,57
896,Orlistat,0,57
438,Tamoxifen,0,57
